Titulo,Año,Duracion,Genero,Clasificacion,Descripcion,Estrellas,votes,Tipo,duracion_num,genero_principal,duration_min,link
#ABtalks,(2018 Podcast Series),87 min,,9.1,"#ABtalks is an interview show hosted by Anas Bukhash, showcasing the 'raw' side of celebrities, athletes, entrepreneurs, and influencers as human beings.","['Karen Wazen, ', 'Deema Al Asadi, ', 'Hala Abdallah, ', 'Mina Al Sheikhly']",15,Pelicula,,,87.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#Alive,(2020),98 min,"Action, Drama, Horror",6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","['Il Cho', '| ', '    Stars:', 'Yoo Ah-in, ', 'Park Shin-Hye, ', 'Jeon Bae-soo, ', 'Hyun-Wook Lee']","39,285",Serie,98.0,Action,98.0,https://image.tmdb.org/t/p/w500/4CQL8VL1snxTPB3bfsm7BKE1EOd.jpg
#AnneFrank - Parallel Stories,(2019),92 min,"Drama, History",6.5,"It is based on five women who did survive the Holocaust but shared her same fate of ""deportation, suffering and being denied their childhood and adolescence,"" according to promotional materials.","['Sabina Fedeli, ', 'Anna Migotto', '| ', '    Stars:', 'Helen Mirren, ', 'Anne Frank, ', 'Martina Gatti, ', 'Arianna Szorenyi']","1,569",Pelicula,92.0,Drama,92.0,https://image.tmdb.org/t/p/w500/nO3jpaNi5qsoixDhYnVYaXaPXme.jpg
#BlackAF,(2020),36 min,Comedy,6.7,A father takes an irreverent and honest approach to parenting and relationships.,"['Rashida Jones, ', 'Kenya Barris, ', 'Iman Benson, ', 'Genneya Walton']","4,887",Serie,36.0,Comedy,36.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#FriendButMarried 2,(2020),100 min,"Biography, Comedy, Drama",6.9,"Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.","['Rako Prijanto', '| ', '    Stars:', 'Adipati Dolken, ', 'Mawar Eva de Jongh, ', 'Vonny Cornellya, ', 'Sari Nila']",317,Serie,100.0,Biography,100.0,https://image.tmdb.org/t/p/w500/3lX4u7t8rhtaVkgX5znxPUSW5MQ.jpg
#FriendsButMarried,(2018),102 min,"Biography, Comedy, Drama",6.8,"Ayudia (Vanesha Prescilla) and Ditto (Adipati Dolken) have been best friends for 12 years. And for all those times, Ditto has been secretly in love with her. Until one day, Ayudia told him that she's gonna get married.","['Rako Prijanto', '| ', '    Stars:', 'Adipati Dolken, ', 'Vanesha Prescilla, ', 'Refal Hady, ', 'Denira Wiraguna']",727,Serie,102.0,Biography,102.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#HappyBirthdaySense8,(2017),15 min,Short,9.0,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Freema Agyeman, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",844,Pelicula,15.0,Short,15.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
#Realityhigh,(2017),99 min,"Comedy, Drama, Romance",5.1,"High-achieving high-school senior Dani Barnes dreams of getting into UC Davis, the world's top veterinary school. Then a glamorous new friend draws her into a Southern California scene that threatens everything she's worked for.","['Fernando Lebrija', '| ', '    Stars:', 'Nesta Cooper, ', 'Keith Powers, ', 'Alicia Sanz, ', 'Jake Borelli']","6,432",Serie,99.0,Comedy,99.0,https://image.tmdb.org/t/p/w500/iZliPeiiDta9KbONAhdFSXhTxrO.jpg
#Rucker50,(2016),56 min,Documentary,5.2,Add a Plot,"['Robert McCullough Jr.', '| ', '    Star:', 'Inez Dickens']",123,Pelicula,56.0,Documentary,56.0,https://image.tmdb.org/t/p/w500/qTdgWIRxBnMXXpxTuvWquf3Q03y.jpg
#cats_the_mewvie,(2020),90 min,Documentary,5.3,It's a 2020 documentary about how cats went from cute text memes to iconic celebrities on YouTube.,"['Michael Margolis', '| ', '    Stars:', 'Kevin Allocca, ', 'Phaedra Barratt, ', 'Amanda Brennan, ', 'Mike Bridavsky']",469,Serie,90.0,Documentary,90.0,https://image.tmdb.org/t/p/w500/fMSNVeCxpl09nXfo8n7ZjPj8OuB.jpg
'76,(2016),118 min,"Drama, Romance",5.6,"The story is told from two points of view: that of a young pregnant woman, and that of her husband, a soldier accused of being involved in the failed 1976 military coup and assassination of General Murtala Mohammed, the Head-of-State of Nigeria.","['Izu Ojukwu', '| ', '    Stars:', 'Efetobore Afatakpa, ', 'Tunde Alabi, ', 'Bisi Ariyo, ', 'Preach Bassey']",234,Pelicula,118.0,Drama,118.0,https://image.tmdb.org/t/p/w500/500vgoIsB8OJ4s9QTsVACnP81UW.jpg
(Un)Well,(2020– ),45 min,Documentary,6.4,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",['Jennifer Julian'],"1,089",Serie,,Documentary,45.0,https://image.tmdb.org/t/p/w500/ggZr8a8yFNIPyRfhk28aM9LSmTg.jpg
1 Chance 2 Dance,(2014),89 min,"Drama, Family",4.6,"When a seventeen-year old aspiring dancer is uprooted mid-semester of her senior year, she finds herself in a small East Coast high school where her heart will be divided between two boys, ...                See full summary »","['Adam Deyoe', '| ', '    Stars:', 'Lexi Giovagnoli, ', 'Justin Ray, ', 'Rae Latt, ', 'Poonam Basu']",579,Pelicula,89.0,Drama,89.0,https://image.tmdb.org/t/p/w500/vQy6jouS9zXZISCxYLmDRzVWZhm.jpg
"1,000,000 yen no Onnatachi",(2017),30 min,"Crime, Mystery, Romance",7.6,"A frustrated writer has 5 mysterious women turn up at his house, all seemingly invited and all must adhere to strict rules, they all pay him a million yen as rent. Who is responsible for the invites?","['Yôjirô Noda, ', 'Rila Fukushima, ', 'Rena Matsui, ', 'Miwako Wagatsuma']","1,867",Pelicula,30.0,Crime,30.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
10 000 timmar,(2014),94 min,Comedy,4.4,"When he wins the lottery, an ordinary guy quits his job to pursue his dream of becoming a pro soccer player by devoting 10,000 hours to training.","['Joachim Hedén', '| ', '    Stars:', 'Peter Magnusson, ', 'Karin Lithman, ', 'Özz Nûjen, ', 'Mathilda von Essen']","1,070",Pelicula,94.0,Comedy,94.0,https://image.tmdb.org/t/p/w500/eZi1QZ4LTqDPP0erEUPIHeeXhYm.jpg
10 Days in Sun City,(2017),87 min,"Adventure, Comedy, Romance",5.2,"A globetrotting traveler, Akpos, brings his girlfriend to the land of South Africa in this adventure.","['Adze Ugah', '| ', '    Stars:', 'Gbenro Ajibade, ', 'Ali Baba, ', 'Fathia Balogun, ', 'Jaun de Jager']",73,Pelicula,87.0,Adventure,87.0,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/This_is_a_cover_image_for_10_Days_in_Sun_City.jpg/250px-This_is_a_cover_image_for_10_Days_in_Sun_City.jpg
100 Days My Prince,(2018),75 min,"Action, Comedy, History",7.7,"Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.","['Kyung-soo Do, ', 'Nam Ji-Hyun, ', 'Jo Sung-ha, ', 'Jo Han-chul']","2,250",Pelicula,75.0,Action,75.0,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/100_Days_My_Prince.jpg/250px-100_Days_My_Prince.jpg
100 Humans: Life's Questions. Answered.,(2020– ),45 min,Reality-TV,5.8,"A social experiment where 100 individuals will be a part of interactive experiments exploring sex, happiness, torture and all the other aspects of being human.","['Zainab Johnson, ', 'Sammy Obeid, ', 'Alie Ward, ', 'Jataun Gilbert']","4,135",Serie,,Reality-TV,45.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
100 Meters,(2016),108 min,"Biography, Comedy, Drama",7.5,"Based on true events, a Spanish man with multiple sclerosis who tried to finish an Iron-Man competition despite he was told that he could not make 100 meters.","['Marcel Barrena', '| ', '    Stars:', 'Dani Rovira, ', 'Karra Elejalde, ', 'Alexandra Jiménez, ', 'David Verdaguer']","6,362",Pelicula,108.0,Biography,108.0,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/100_Meters_poster.jpg/250px-100_Meters_poster.jpg
100 días para enamorarnos,(2020–2021),45 min,Comedy,6.7,Two couples in struggling relationships decide to give each other another chance: 100 days for them to fall back in love.,"['Ilse Salas, ', 'Mariana Treviño, ', 'Erick Elias, ', 'David Chocarro']",764,Serie,45.0,Comedy,45.0,https://upload.wikimedia.org/wikipedia/en/2/29/100_d%C3%ADas_para_enamorarnos.jpg
100 milioni di bracciate,(2017),115 min,Biography,3.5,"When a swimmer becomes famous for his epic and social commitment: the story of Leo Callone, swimmer able to cross the English channel, to travel around the world twice and builds a hospital in Guatemala in memory of his son.","['Donatella Cervi', '| ', '    Stars:', 'William Angiuli, ', 'Nicola Bizzarri, ', 'Paola Onofri, ', 'Gian Marco Tavani']",11,Pelicula,,Biography,115.0,https://image.tmdb.org/t/p/w500/rXo5qzx1pk5Qhbwsyn2wHVpmCqY.jpg
100% Coco,(2017),88 min,Drama,5.1,"A quirky 13-year-old girl dreams of becoming a style icon and anonymously starts her own fashion vlog called the Style Tiger. As the vlog becomes a big hit, Coco gets the chance to chase her dreams in Paris.","['Tessa Schram', '| ', '    Stars:', 'Nola Kemper, ', 'Valentijn Avé, ', 'Merel de Zwart, ', 'Firy Beuk']","1,212",Pelicula,88.0,Drama,88.0,https://image.tmdb.org/t/p/w500/qOULNNkz56MT2t3CLzGFwazgRf0.jpg
100% Hotter,(2016– ),60 min,Reality-TV,4.4,"A make-under rather than a make-over show, targeting people whose style is so in your face you cannot help stop and stare while their family and friends squirm with embarrassment.","['Daniel Palmer, ', 'Melissa Sophia, ', 'Karen Williams, ', 'Zoe Hardman']",885,Serie,60.0,Reality-TV,60.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
1000 Miles from Christmas,(2021),102 min,"Comedy, Romance",5.8,"A Christmas tale, a romantic comedy and the story of a man in his 30s who learns reluctantly to get carried away by the Christmas spirit.","['Álvaro Fernández Armero', '| ', '    Stars:', 'Tamar Novas, ', 'Andrea Ros, ', 'Mar del Hoyo, ', 'Raúl Jiménez']","1,529",Serie,102.0,Comedy,102.0,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/1000_Miles_from_Christmas_poster.jpg/250px-1000_Miles_from_Christmas_poster.jpg
101 Dalmatians,(1996),103 min,"Adventure, Comedy, Crime",5.7,An evil high-fashion designer plots to steal dalmatian puppies in order to make an extravagant fur coat but creates an extravagant mess instead.,"['Stephen Herek', '| ', '    Stars:', 'Glenn Close, ', 'Jeff Daniels, ', 'Joely Richardson, ', 'Joan Plowright']","111,407",Pelicula,103.0,Adventure,103.0,https://image.tmdb.org/t/p/w500/rzUvS1tW6WuJHYB4bbFOW89aNVc.jpg
11M: Terror in Madrid,(2022),92 min,Documentary,6.9,"The story of the worst terrorist attack in European history. Survivors and insiders recount March 11, 2004's terrorist attack on Madrid, including the political crisis it ignited and the hunt for the perpetrators.",['Jose Gomez'],"1,923",Serie,92.0,Documentary,92.0,https://image.tmdb.org/t/p/w500/v0LyRKSoCVbFpJy2hUQKtxnhu3y.jpg
12 Monkeys,(2015–2018),42 min,"Adventure, Drama, Mystery",7.7,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,"['Aaron Stanford, ', 'Amanda Schull, ', 'Noah Bean, ', 'Barbara Sukowa']","44,864",Serie,42.0,Adventure,42.0,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Twelve_monkeysmp.jpg/250px-Twelve_monkeysmp.jpg
12 Rounds 3: Lockdown,(2015),90 min,"Action, Crime, Thriller",5.1,"Upon returning to work after recovering from an injury, a police officer discovers and attempts to turn in incriminating evidence of illegal activities against his fellow cops.","['Stephen Reynolds', '| ', '    Stars:', 'Jonathan Good, ', 'Roger Cross, ', 'Daniel Cudmore, ', 'Lochlyn Munro']","4,292",Pelicula,90.0,Action,90.0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/12_Rounds_3_Poster.jpg/250px-12_Rounds_3_Poster.jpg
12 Strong,(2018),130 min,"Action, Drama, History",6.5,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","['Nicolai Fuglsig', '| ', '    Stars:', 'Chris Hemsworth, ', 'Michael Shannon, ', 'Michael Peña, ', 'Navid Negahban']","81,719",Pelicula,130.0,Action,130.0,https://upload.wikimedia.org/wikipedia/en/d/d7/12_Strong_poster.jpg
127 Hours,(2010),94 min,"Biography, Drama",7.6,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","['Danny Boyle', '| ', '    Stars:', 'James Franco, ', 'Amber Tamblyn, ', 'Kate Mara, ', 'Sean Bott']","375,723",Pelicula,94.0,Biography,94.0,https://upload.wikimedia.org/wikipedia/en/b/b3/127_Hours_Poster.jpg
13 Geboden,(2017–2018),46 min,"Crime, Mystery, Thriller",7.0,A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,"['Dirk van Dijck, ', 'Marie Vinck, ', 'Karlijn Sileghem, ', 'Line Pillet']","2,633",Serie,46.0,Crime,46.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
13 Reasons Why,(2017–2020),60 min,"Drama, Mystery, Thriller",7.5,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","['Dylan Minnette, ', 'Katherine Langford, ', 'Christian Navarro, ', 'Alisha Boe']","289,319",Serie,60.0,Drama,60.0,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Netflix%27s_13_Reasons_Why_title_screen.png/250px-Netflix%27s_13_Reasons_Why_title_screen.png
13 Reasons Why: Season 2 Date Announcement Commercial,(2018),1 min,"Short, Drama",7.2,Add a Plot,"['Greg Jardin', '| ', '    Stars:', 'Alisha Boe, ', 'Tommy Dorfman, ', 'Katherine Langford, ', 'Derek Luke']",260,Pelicula,1.0,Short,1.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
137 Shots,(2021),104 min,"Documentary, Crime",6.3,"In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.","['Michael Milano', '| ', '    Stars:', 'Mansfield Frazier, ', 'Alonzo Mitchell, ', 'Mike DeWine, ', 'Timothy McGinty']",923,Pelicula,104.0,Documentary,104.0,https://image.tmdb.org/t/p/w500/c62odansbfa1zQ01lnyN4tIu6Dc.jpg
13: The Musical,(2022),91 min,"Comedy, Drama, Family",5.2,"After his parents' divorce, Evan Goldman moves from NYC to small-town Indiana. As his 13th birthday nears, he must master the complex social circles of his new school and win friends by turning his Bar Mitzvah into the coolest party ever.","['Tamra Davis', '| ', '    Stars:', 'Eli Golden, ', 'Josh Peck, ', 'Debra Messing, ', 'Peter Hermann']",595,Pelicula,91.0,Comedy,91.0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/13_Musical_Film_Poster.jpg/250px-13_Musical_Film_Poster.jpg
13th,(2016),100 min,"Documentary, Crime, History",8.2,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,"['Ava DuVernay', '| ', '    Stars:', 'Melina Abdullah, ', 'Michelle Alexander, ', 'Cory Booker, ', 'Dolores Canales']","35,589",Serie,100.0,Documentary,100.0,https://image.tmdb.org/t/p/w500/tcKNWD6IFPPsvkpvyZ548naz0is.jpg
13th: A Conversation with Oprah Winfrey & Ava DuVernay,(2017 Video),37 min,"Documentary, Short",7.0,Oprah Winfrey sits down with other to discuss social and cultural issues.,"['Oprah Winfrey, ', 'Ava DuVernay']",205,Pelicula,37.0,Documentary,37.0,https://image.tmdb.org/t/p/w500/f7q7IxU1VR6inD7gcsve0vBhZOs.jpg
14 Peaks: Nothing Is Impossible,(2021),101 min,"Documentary, Adventure, Sport",7.7,"Fearless Nepali mountaineer Nirmal Purja embarks on a seemingly impossible quest to summit all 14 of the world's 8,000-meter peaks in seven months.","['Torquil Jones', '| ', '    Stars:', 'Nirmal Purja, ', 'Suchi Purja, ', 'Klára Kolouchová, ', 'Reinhold Messner']","25,371",Serie,101.0,Documentary,101.0,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/14_Peaks-_Nothing_Is_Impossible.jpg/250px-14_Peaks-_Nothing_Is_Impossible.jpg
15 August,(2019),124 min,Drama,5.8,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.","['Swapnaneel Jaykar', '| ', '    Stars:', 'Abhishek Deshmukh, ', 'Mrunmayee Deshpande, ', 'Namrata Kadam, ', 'Addinath Kothare']",280,Pelicula,124.0,Drama,124.0,https://image.tmdb.org/t/p/w500/5N9VwgIv3LCCCPasNm3pp9Q1AzX.jpg
16 ge xia tian,(2014),99 min,"Drama, Romance",7.8,"Cherish every moments, even if you'll lose it in the end, don't let it become a regret.","['Ruby Lin, ', 'Weber Yang, ', 'Wei-Ning Hsu, ', 'Melvin Sia']",146,Pelicula,,Drama,99.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
17 Girls,(2011),86 min,Drama,6.0,"When a rebellious teenager finds out that she is already eight weeks pregnant, she forms a pact with sixteen of her classmates to get pregnant simultaneously, raise their children together, and most of all, be in charge of their lives.","['Delphine Coulin, ', 'Muriel Coulin', '| ', '    Stars:', 'Louise Grinberg, ', 'Juliette Darche, ', 'Roxane Duran, ', 'Esther Garrel']","3,307",Pelicula,86.0,Drama,86.0,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/17_Girls_poster.png/250px-17_Girls_poster.png
18 Again,(2020),70 min,"Comedy, Drama, Fantasy",8.2,A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.,"['Ha-neul Kim, ', 'Yoon Sang-Hyun, ', 'Lee Do-Hyun, ', 'No Jeong-ee']","1,889",Pelicula,70.0,Comedy,70.0,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/18_Again_2020.jpg/250px-18_Again_2020.jpg
18 Presents,(2020),115 min,Drama,6.9,"Inspired by the extraordinary story of Elisa Girotto, the woman who moved the world by leaving 18 birthday gifts for her daughter when she discovered that she would have little time with her.","['Francesco Amato', '| ', '    Stars:', 'Vittoria Puccini, ', 'Benedetta Porcaroli, ', 'Edoardo Leo, ', 'Sara Lazzaro']","3,860",Serie,115.0,Drama,115.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/18_Presents_poster.jpg/250px-18_Presents_poster.jpg
1898: Our Last Men in the Philippines,(2016),105 min,"Drama, History, War",6.5,A soldiers trapped inside a church as last refugee. A fight that no one couldn't win. A war that no one wanted to lose.,"['Salvador Calvo', '| ', '    Stars:', 'Luis Tosar, ', 'Javier Gutiérrez, ', 'Álvaro Cervantes, ', 'Karra Elejalde']","3,403",Pelicula,105.0,Drama,105.0,https://image.tmdb.org/t/p/w500/f0j68TWyH44vPGP9RoHiZegv4LO.jpg
1899,(2022– ),60 min,"Drama, History, Horror",9.6,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,"['Ben Ashenden, ', 'Aneurin Barnard, ', 'Emily Beecham, ', 'Anton Lesser']",853,Serie,60.0,Drama,60.0,https://image.tmdb.org/t/p/w500/Gz7HQv0A9m4vn3DgUJDmP2UExX.jpg
1920,(2008),138 min,"Horror, Mystery, Romance",6.4,"After forsaking his family and religion, a husband finds his wife is demoniacally possessed.","['Vikram Bhatt', '| ', '    Stars:', 'Rajneesh Duggal, ', 'Adah Sharma, ', 'Anjori Alagh, ', 'Raj Zutshi']","3,555",Pelicula,138.0,Horror,138.0,https://image.tmdb.org/t/p/w500/i9rva37n3B27xHmcur8oxW8Ludi.jpg
1920 London,(2016),120 min,"Horror, Mystery",4.1,"After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.","['Dharmendra Suresh Desai', '| ', '    Stars:', 'Sharman Joshi, ', 'Meera Chopra, ', 'Vishal Karwal, ', 'Surendra Pal']","1,753",Pelicula,120.0,Horror,120.0,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/1920_London_Poster.jpg/250px-1920_London_Poster.jpg
1922,(2017),102 min,"Crime, Drama, Horror",6.2,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.","['Zak Hilditch', '| ', '    Stars:', 'Thomas Jane, ', 'Molly Parker, ', 'Dylan Schmid, ', 'Kaitlyn Bernard']","63,582",Serie,102.0,Crime,102.0,https://image.tmdb.org/t/p/w500/1wj8hLGHAP9goBvvJ45TIK2RjsA.jpg
1983,(2018),60 min,"Crime, Drama, Thriller",6.7,"Decades after a 1983 terrorist attack, a law student and a cop uncover a conspiracy that's kept Poland as a police state and the Iron Curtain standing.","['Robert Wieckiewicz, ', 'Maciej Musial, ', 'Michalina Olszanska, ', 'Andrzej Chyra']","4,208",Serie,60.0,Crime,60.0,https://image.tmdb.org/t/p/w500/k02dxV9sNizaW33dSX8uCgLboEv.jpg
1994,(I) (2019– ),45 min,"Documentary, History",7.6,"Archival video and new interviews provide an investigative look at Mexican politics in 1994, a year marked by the assassination of Luis Donaldo Colosio.","['Rafael Sebastián Guillén Vicente, ', 'Carlos Salinas de Gortari']",536,Serie,,Documentary,45.0,https://image.tmdb.org/t/p/w500/7tn5zsUTSiSAE3T7OFUFeAhKBrO.jpg
"1994: Poder, Rebeldía y Crimen en México",(2019),75 min,Documentary,8.2,"1994 looks at a convoluted period in recent Mexican history, including the assassination of Luis Donaldo Colosio, the raising of the Zapatist Liberation Army, and the end of the rule of Carlos Salinas.",[],21,Pelicula,,Documentary,75.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
2 Good 2 Be True,(2022– ),31 min,"Comedy, Drama, Romance",8.5,"Car mechanic Eloy makes a terrible first impression on Ali, who works for a real estate magnate. But both of them are hiding their true personas.","['Kathryn Bernardo, ', 'Daniel Padilla, ', 'Gelli de Belen, ', 'Cris Villanueva']",67,Serie,31.0,Comedy,31.0,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/2_Good_2_Be_True_title_card.png/250px-2_Good_2_Be_True_title_card.png
2 Weeks,(2013),65 min,"Crime, Drama",7.9,"The drama spans exactly two weeks, and tells about Tae San's desperate struggles to save his daughter. He is on the run after being falsely accused of murder and discovers that he has a daughter who is now suffering from leukemia.","['Lee Joon-Gi, ', 'Ha-seon Park, ', 'Soo-young Ryu, ', 'Kim So-yeon']",747,Pelicula,65.0,Crime,65.0,https://image.tmdb.org/t/p/w500/9rkWDWGWu7564clbIgdkJJzyihP.jpg
2001: A Space Odyssey,(1968),149 min,"Adventure, Sci-Fi",8.3,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.","['Stanley Kubrick', '| ', '    Stars:', 'Keir Dullea, ', 'Gary Lockwood, ', 'William Sylvester, ', 'Daniel Richter']","662,697",Pelicula,149.0,Adventure,149.0,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/2001_A_Space_Odyssey_%281968%29.png/250px-2001_A_Space_Odyssey_%281968%29.png
2006 Independent Spirit Awards,(2006 TV Special),109 min,,6.5,Add a Plot,"['Chris Donovan', '| ', '    Stars:', 'Sarah Silverman, ', 'Hany Abu-Assad, ', 'Amy Adams, ', 'Shohreh Aghdashloo']",97,Pelicula,109.0,,109.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
2020,(II) (2021– ),45 min,"Crime, Drama, Thriller",7.8,An investigator goes on an undercover mission to obtain evidence that will allow her to arrest a wanted drug lord.,"['Kosai Khauli, ', 'Nadine Nassib Njeim, ', 'Rawad Alio, ', 'Carmen Lebbos']",434,Serie,45.0,Crime,45.0,https://image.tmdb.org/t/p/w500/2UF6ItVL8GGAy6WOvTF8t7wrqu.jpg
2020 Golden Globe Awards,(2020 TV Special),134 min,Comedy,7.2,Comedian Ricky Gervais brutally roasts Hollywood and exposes their hypocrisy.,"['Louis J. Horvitz', '| ', '    Stars:', 'Ricky Gervais, ', 'Jennifer Aniston, ', 'Reese Witherspoon, ', 'Michael Douglas']",874,Serie,134.0,Comedy,134.0,https://upload.wikimedia.org/wikipedia/en/9/97/77th_Golden_Globe_Awards.png
2067,(2020),114 min,"Mystery, Sci-Fi",4.9,One man's journey to the future to save a dying world.,"['Seth Larney', '| ', '    Stars:', 'Aaron Glenane, ', 'Kodi Smit-McPhee, ', 'Ryan Kwanten, ', 'Finn Little']","9,683",Pelicula,114.0,Mystery,114.0,https://image.tmdb.org/t/p/w500/7D430eqZj8y3oVkLFfsWXGRcpEG.jpg
21 Days Under the Sky,(2016),70 min,Documentary,6.6,"4 bikers pull an ""Easy rider"". How it used to be or at least how it was for me.","['Michael Schmidt', '| ', '    Stars:', 'Daniel Collins, ', 'Troy Critchlow, ', 'Gentry Dayton, ', 'Tom Fugle']",261,Pelicula,70.0,Documentary,70.0,https://image.tmdb.org/t/p/w500/hHZRKaigYPTquucCRXVNB1meYao.jpg
21 Sarfarosh Saragarhi 1897,(2018– ),18 min,"History, War",8.2,A chronicle of the lives and events that led to the brave and epic last stand of the 21 soldiers of the 36th Sikh regiment of the British Indian Army against thousands of Afghani invaders in the September of 1897.,"['Mohit Raina, ', 'Vikram Mastal, ', 'Sooraj Ohri, ', 'Harry Chauhan']",403,Serie,18.0,History,18.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
21 Thunder,(2017),44 min,Drama,6.0,"In the cutthroat world of pro soccer, a club lives and dies by the stars on its under-21 team. They are the future and lifeblood of any franchise, but most will never make it. 21 THUNDER is...                See full summary »","['Stephanie Bennett, ', 'Emmanuel Kabongo, ', 'Andres Joseph, ', 'Kevin Claydon']","1,028",Serie,44.0,Drama,44.0,https://upload.wikimedia.org/wikipedia/en/c/c3/21_Thunder.png
212 Warrior,(2018),123 min,"Action, Adventure, Comedy",6.9,"Indonesia, the 16th century, Wiro Sableng, a disciple from a mysterious Warrior named Sinto Gendeng, got a mission from his Master to take down Mahesa Birawa, her former disciple who betrayed her.","['Angga Dwimas Sasongko', '| ', '    Stars:', 'Vino G. Bastian, ', 'Yayan Ruhian, ', 'Fariz Alfarazi, ', 'Ruth Marini']","1,527",Serie,123.0,Action,123.0,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/212_Warrior_Poster.jpg/250px-212_Warrior_Poster.jpg
22 Bullets,(2010),117 min,"Action, Crime, Drama",6.6,A retired mobster goes on a revenge spree after being left for dead with 22 bullets in his body by his former childhood friend.,"['Richard Berry', '| ', '    Stars:', 'Jean Reno, ', 'Kad Merad, ', 'Jean-Pierre Darroussin, ', 'Marina Foïs']","34,971",Pelicula,117.0,Action,117.0,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/22_Bullets.jpg/250px-22_Bullets.jpg
22 July,(2018),143 min,"Crime, Drama, History",6.8,"A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.","['Paul Greengrass', '| ', '    Stars:', 'Anders Danielsen Lie, ', 'Jonas Strand Gravli, ', 'Jon Øigarden, ', 'Maria Bock']","34,106",Pelicula,143.0,Crime,143.0,https://image.tmdb.org/t/p/w500/jQX1Ult7VWZnCttjY4x1hGQnN2s.jpg
